User ID,Platform,Username,followers_normalized,following_normalized,likes_normalized,comments_normalized,engagement_normalized,account_age_normalized,is_verified,activity_normalized,hashtag_score,media_type_score,privacy_setting_score,has_contact_info,is_specific_location,has_sensitive_keywords,follower_following_ratio_normalized,comments_per_post_normalized,has_email_in_bio,has_phone_in_bio,bio_sentiment_score,post_text_sentiment_score,sensitive_keyword_density_bio_normalized,sensitive_keyword_density_post_normalized,post_text_length_normalized,days_since_post_normalized,avg_time_between_posts_days_normalized,shares_to_likes_ratio_normalized,num_mentions_in_posts_normalized
806,Instagram,jasongreen,0.09649865705229027,0.09478021978021978,0.09185667752442997,0.10220125786163521,0.5845449654491979,0.2595857205817541,1,0.2,0.5,0.0,1.0,0,0,0,0.08474636761334009,0.7236424709101084,0,0,0.16666666666666666,0.5,0.0,0.0,0.3382352941176471,0.5877799281172242,0.2678212245554751,0.8106664347817667,0.0
342,Goodreads,davidjohnson,0.45432767924117406,0.3392857142857143,0.43127035830618893,0.36006289308176104,0.43179573583803665,0.75716174526223,0,1.0,0.5,0.5,1.0,0,0,0,0.11054107747885601,0.256203570059945,0,0,0.15833333333333333,0.43333333333333335,0.0,0.0,0.5588235294117647,0.11833010782416367,0.2678212245554751,0.11922211170313424,0.0
384,Spotify,srivera,0.09429670675345414,0.47847985347985356,0.08099891422366992,0.0990566037735849,0.419887568756631,0.1101806963420009,1,0.8,0.5,0.5,1.0,0,1,0,0.01446276002562611,0.9287480857567763,0,0,-0.03181818181818183,0.033333333333333326,0.0,0.0,0.6029411764705882,0.3621786010505944,0.2678212245554751,0.2998128261697077,0.0
992,Instagram,iryan,0.3268565344689912,0.29761904761904767,0.25276872964169383,0.2138364779874214,0.125707210297338,0.8765976200969591,0,1.0,0.0,0.5,1.0,0,0,0,0.09069054236868553,0.24481180490846133,0,0,0.22142857142857142,0.0,0.0,0.0,0.24999999999999997,0.10008294166436274,0.38667632150615494,0.8568834875607576,0.0
171,Twitter,perezashley,0.18162460376993247,0.19276556776556777,0.2045602605863192,0.2169811320754717,0.8958404888983267,0.8153371529308066,0,0.6000000000000001,0.5,0.5,1.0,1,1,1,0.07858561562275769,0.6771963522068603,1,0,0.11904761904761905,0.0,0.3611111111111111,0.0,0.5882352941176471,0.03981199889411114,0.14301230992034758,0.9228869498870191,0.0
145,Twitter,garretterin,0.16700946112710818,0.1597985347985348,0.15787187839305103,0.16194968553459121,0.48895794598640374,0.20890260026443364,1,0.8,1.0,0.5,0.75,0,0,0,0.08643580581682117,0.663509128210235,0,0,0.13154761904761905,0.0,0.0,0.0,0.2647058823529411,0.4617085982858723,0.15821868211440984,0.05212122260392582,0.0
510,Goodreads,crawfordtaylor,0.05516974375105863,0.1913919413919414,0.05472312703583062,0.03773584905660378,0.5813714153671252,0.11855442926399296,1,0.6000000000000001,0.5,1.0,1.0,0,0,0,0.028882109807598626,0.11194884144974493,0,0,0.03333333333333333,0.2,0.0,0.0,0.4117647058823529,0.03981199889411114,0.2678212245554751,0.5269855987204799,0.0
173,Twitter,andrewbryant,0.10104774118614948,0.10073260073260074,0.08078175895765471,0.09276729559748427,0.30324807614995675,0.005288673424416079,0,0.6000000000000001,0.5,0.0,1.0,0,0,0,0.08372060978775434,0.8080915712624372,0,0,0.0,0.0,0.0,0.2857142857142857,0.6470588235294118,0.03981199889411114,0.2678212245554751,0.30348145480579247,0.0
771,Twitter,hessamy,0.19534444793960365,0.27701465201465203,0.16720955483170466,0.13522012578616355,0.27368047239734605,0.5504627589246364,0,0.2,1.0,0.0,1.0,0,0,0,0.05909618138697974,0.23476319251148303,0,0,0.1125,0.0,0.0,0.0,0.04411764705882351,0.03981199889411114,0.2678212245554751,0.06350111098423583,0.0
755,Instagram,veronicastephens,0.06850243182423113,0.36630036630036633,0.05841476655808903,0.059748427672955975,0.42190678285220895,0.7267518730718378,0,0.2,0.5,0.5,1.0,0,1,1,0.015294902972628747,0.5727668647795834,0,0,0.0,-0.04999999999999999,0.5,0.0,0.3088235294117647,0.03981199889411114,0.2678212245554751,0.5071836138024499,0.0
961,Instagram,donnagilbert,0.2168558085513103,0.20375457875457875,0.21824104234527686,0.22641509433962265,0.6287964847576732,0.20493609519612166,1,0.2,0.0,0.0,1.0,0,0,0,0.08788784153534146,0.6667965912710077,0,0,0.25,0.21428571428571427,0.0,0.0,0.38235294117647056,0.03981199889411114,0.2678212245554751,0.4786281051259149,0.0
340,Instagram,jeremyfowler,0.23831877465095455,0.14697802197802198,0.23105320304017374,0.19811320754716982,0.491992006413142,0.42353459673865146,0,0.6000000000000001,0.5,1.0,1.0,1,1,1,0.12808908157871884,0.31985571568993465,0,0,0.12000000000000002,-0.4,0.40625,0.0,0.3529411764705882,0.30218413049488524,0.08426864590876176,0.1083463173440693,0.0
973,Twitter,jennifer65,0.20753986497931134,0.6753663003663004,0.1494028230184582,0.11635220125786165,0.01625065496794864,0.5055090348171,1,0.2,0.0,0.0,1.0,0,0,0,0.022362032312039152,0.1739663873661852,0,0,0.15,0.0,0.0,0.0,0.4117647058823529,0.03981199889411114,0.2994207096307024,0.20179744599700888,0.0
249,Instagram,rhonda41,0.19553802598785297,0.20558608058608058,0.2286644951140065,0.25943396226415094,0.9962114139630056,0.16967827236668132,1,0.4,0.5,0.5,0.75,0,0,0,0.07918212237040366,0.839134057913179,0,0,0.0,0.1,0.0,0.0,0.5,0.03981199889411114,0.2678212245554751,0.8506913015754518,0.0
812,Goodreads,amandaprice,0.2253006509061872,0.29899267399267404,0.16807817589576549,0.16666666666666669,0.10564297985271165,0.8743940061701191,0,0.4,0.5,0.5,0.75,0,0,0,0.06275577189294355,0.5675710667082006,0,0,0.21428571428571427,0.3,0.0,0.0,0.2352941176470588,0.310201824716616,0.03258508327299059,0.46001962515729855,0.0
570,YouTube,michelle01,0.26532291238173594,0.18452380952380953,0.22953311617806732,0.21855345911949686,0.30661688878375615,0.07315998237108856,0,0.6000000000000001,0.5,0.5,0.75,0,0,0,0.11609020405132693,0.5143850925945685,0,0,0.39999999999999997,0.0,0.0,0.0,0.14705882352941177,0.29278407520044236,0.10716871832005792,0.16721810709801233,0.0
553,Facebook,davidspencer,0.5675708374670312,0.19871794871794873,0.45276872964169385,0.44339622641509435,0.17332059059409954,0.4742177170559717,0,0.8,1.0,0.5,1.0,0,1,0,0.2249732962532403,0.5315751245989639,0,0,0.0,-0.25,0.0,0.0,0.32352941176470584,0.03981199889411114,0.2678212245554751,0.8323412145386422,0.0
